dataset,setting,subject,seed,method,accuracy,source_accuracy,delta_vs_source,mean_acc,worst_delta_vs_source,ntr_s_0p5,source_file
BCIC IV-2a,no_aug_5seed_4subj,S6,1,source_only,68.75,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,2,source_only,63.19,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,3,source_only,67.36,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,1,source_only,92.36,missing,missing,90.507,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,2,source_only,89.58,missing,missing,90.507,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,3,source_only,89.58,missing,missing,90.507,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,1,policy_safe_no_shallow,62.5,missing,missing,65.16,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,2,policy_safe_no_shallow,67.01,missing,missing,65.16,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,3,policy_safe_no_shallow,65.97,missing,missing,65.16,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,1,policy_safe_no_shallow,82.64,missing,missing,80.557,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,2,policy_safe_no_shallow,81.25,missing,missing,80.557,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,3,policy_safe_no_shallow,77.78,missing,missing,80.557,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,1,policy_safe_no_shallow,68.4,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,2,policy_safe_no_shallow,63.19,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,3,policy_safe_no_shallow,67.71,missing,missing,66.433,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,1,policy_safe_no_shallow,92.71,missing,missing,91.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,2,policy_safe_no_shallow,91.32,missing,missing,91.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,3,policy_safe_no_shallow,89.93,missing,missing,91.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,1,replay_safe_uniform,62.5,missing,missing,65.047,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,2,replay_safe_uniform,66.67,missing,missing,65.047,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,3,replay_safe_uniform,65.97,missing,missing,65.047,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,1,replay_safe_uniform,82.29,missing,missing,80.553,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,2,replay_safe_uniform,81.94,missing,missing,80.553,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,3,replay_safe_uniform,77.43,missing,missing,80.553,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,1,replay_safe_uniform,68.4,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,2,replay_safe_uniform,62.85,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
